scenario,batch_size,use_cycle_time,replication,batch_completion_time,avg_cycle_time,avg_wip,station_1_utilization,station_2_utilization,station_3_utilization,station_4_utilization,station_5_utilization
Сценарий 2: Буфер 1 самолет,75,True,4,1384.0,18.405405405405407,2.054407514450866,0.44552023121387235,0.2254335260115607,0.43930635838150306,0.3132947976878608,0.19226878612716725
Сценарий 2: Буфер 1 самолет,75,True,5,1385.1,18.42027027027027,2.054219911919716,0.44559959569706126,0.2270594180925565,0.44112338459317035,0.3162948523572301,0.1877842755035733
Сценарий 2: Буфер 1 самолет,100,True,1,1798.0,17.939393939393938,2.063014460511679,0.4340934371523913,0.22942157953281425,0.4548387096774195,0.32502780867630676,0.19382647385984406
Сценарий 2: Буфер 1 самолет,100,True,2,1798.0,17.939393939393938,2.067908787541712,0.4344271412680752,0.2299777530589544,0.45717463848720813,0.3211345939933255,0.19521690767519423
Сценарий 2: Буфер 1 самолет,100,True,3,1798.0,17.92020202020202,2.072246941045605,0.4359288097886534,0.23164627363737486,0.4590100111234707,0.32569521690767456,0.19555061179087813
Сценарий 2: Буфер 1 самолет,100,True,4,1798.0,17.939393939393938,2.0679087875417115,0.43487208008898737,0.23025583982202447,0.4546718576195775,0.3239710789766402,0.1954393770856502
Сценарий 2: Буфер 1 самолет,100,True,5,1799.8999999999999,17.958585858585856,2.0655036390910597,0.4341352297349851,0.2302905716984277,0.4536363131285074,0.32207344852491787,0.19451080615589722
Сценарий 2: Буфер 1 самолет,75,False,1,707.5999999999999,9.239189189189188,37.98982475975127,0.39132278123233477,0.8298473713962693,0.9633973996608255,0.647540983606557,0.7299321650650082
Сценарий 2: Буфер 1 самолет,75,False,2,712.0,9.324324324324325,39.04803370786517,0.3883426966292135,0.8237359550561798,0.976123595505618,0.6514044943820222,0.5823033707865167
Сценарий 2: Буфер 1 самолет,75,False,3,693.0,9.041891891891892,38.23376623376623,0.398989898989899,0.8458874458874459,0.9743145743145744,0.6409812409812408,0.753246753246753
Сценарий 2: Буфер 1 самолет,75,False,4,684.0,8.945945945945946,36.70219298245614,0.40423976608187134,0.8574561403508771,0.8976608187134503,0.6377192982456137,0.7770467836257307
Сценарий 2: Буфер 1 самолет,75,False,5,708.5999999999999,9.278378378378378,38.27081569291561,0.39062941010443136,0.8290996330793114,0.9695173581710416,0.6480383855489694,0.5221563646627151
Сценарий 2: Буфер 1 самолет,100,False,1,885.0,8.717171717171718,51.30214689265537,0.45028248587570624,0.8847457627118644,0.9807909604519774,0.6361581920903953,0.7797740112994348
Сценарий 2: Буфер 1 самолет,100,False,2,904.0,8.909090909090908,50.68661504424779,0.4411504424778761,0.8661504424778761,0.9811946902654868,0.6433628318584067,0.6990044247787607
Сценарий 2: Буфер 1 самолет,100,False,3,904.0,8.88989898989899,49.76172566371681,0.44081858407079644,0.8658185840707965,0.9803097345132744,0.6411504424778752,0.6964601769911498
Сценарий 2: Буфер 1 самолет,100,False,4,909.0,8.95959595959596,51.21474147414741,0.4383938393839384,0.8613861386138614,0.9812981298129813,0.6451045104510444,0.6347634763476343
Сценарий 2: Буфер 1 самолет,100,False,5,905.0999999999999,8.92020202020202,52.67661031930174,0.44072478179206726,0.8656502043973042,0.9805546348469784,0.6426914153132247,0.6990387802452765
Сценарий 3: Неограниченный буфер,75,True,1,1385.1,18.394594594594594,2.0578297595841444,0.44473323225759825,0.22742040285899937,0.43614179481625903,0.3087863692152187,0.19413760739296743
Сценарий 3: Неограниченный буфер,75,True,2,1384.0,18.405405405405407,2.062210982658958,0.4462427745664736,0.22796242774566475,0.4382225433526014,0.32268786127167587,0.18460982658959485
Сценарий 3: Неограниченный буфер,75,True,3,1384.0,18.37972972972973,2.0556358381502875,0.4454479768786122,0.22760115606936415,0.4386560693641621,0.3093208092485544,0.19356936416184908
Сценарий 3: Неограниченный буфер,75,True,4,1384.0,18.405405405405407,2.054407514450866,0.44552023121387235,0.2254335260115607,0.43930635838150306,0.3132947976878608,0.19226878612716725
Сценарий 3: Неограниченный буфер,75,True,5,1385.1,18.42027027027027,2.054219911919716,0.44559959569706126,0.2270594180925565,0.44112338459317035,0.3162948523572301,0.1877842755035733
Сценарий 3: Неограниченный буфер,100,True,1,1798.0,17.939393939393938,2.063014460511679,0.4340934371523913,0.22942157953281425,0.4548387096774195,0.32502780867630676,0.19382647385984406
Сценарий 3: Неограниченный буфер,100,True,2,1798.0,17.939393939393938,2.067908787541712,0.4344271412680752,0.2299777530589544,0.45717463848720813,0.3211345939933255,0.19521690767519423
Сценарий 3: Неограниченный буфер,100,True,3,1798.0,17.92020202020202,2.072246941045605,0.4359288097886534,0.23164627363737486,0.4590100111234707,0.32569521690767456,0.19555061179087813
Сценарий 3: Неограниченный буфер,100,True,4,1798.0,17.939393939393938,2.0679087875417115,0.43487208008898737,0.23025583982202447,0.4546718576195775,0.3239710789766402,0.1954393770856502
Сценарий 3: Неограниченный буфер,100,True,5,1799.8999999999999,17.958585858585856,2.0655036390910597,0.4341352297349851,0.2302905716984277,0.4536363131285074,0.32207344852491787,0.19451080615589722
Сценарий 3: Неограниченный буфер,75,False,1,707.5999999999999,9.239189189189188,37.98982475975127,0.39132278123233477,0.8298473713962693,0.9633973996608255,0.647540983606557,0.7299321650650082
Сценарий 3: Неограниченный буфер,75,False,2,712.0,9.324324324324325,39.04803370786517,0.3883426966292135,0.8237359550561798,0.976123595505618,0.6514044943820222,0.5823033707865167
Сценарий 3: Неограниченный буфер,75,False,3,693.0,9.041891891891892,38.23376623376623,0.398989898989899,0.8458874458874459,0.9743145743145744,0.6409812409812408,0.753246753246753
Сценарий 3: Неограниченный буфер,75,False,4,684.0,8.945945945945946,36.70219298245614,0.40423976608187134,0.8574561403508771,0.8976608187134503,0.6377192982456137,0.7770467836257307
Сценарий 3: Неограниченный буфер,75,False,5,708.5999999999999,9.278378378378378,38.27081569291561,0.39062941010443136,0.8290996330793114,0.9695173581710416,0.6480383855489694,0.5221563646627151
Сценарий 3: Неограниченный буфер,100,False,1,885.0,8.717171717171718,51.30214689265537,0.45028248587570624,0.8847457627118644,0.9807909604519774,0.6361581920903953,0.7797740112994348
